_Eihop,_P0,hops,d,_R,_Nb
0.100,0.21,1,135,250,90
0.57,0.14,1,135,250,90
0.28,0.10,1,135,250,90
0.86,0.18,1,135,250,90
0.82,0.18,1,135,250,90
0.54,0.14,1,135,250,90
0.82,0.18,1,135,250,90
0.32,0.10,1,135,250,90
0.32,0.10,1,135,250,90
0.46,0.14,1,135,250,90
0.14,0.07,1,135,250,90
0.82,0.18,1,135,250,90
0.03,0.03,1,135,250,90
0.79,0.18,1,135,250,90
0.57,0.14,1,135,250,90
0.18,0.07,1,135,250,90
0.54,0.14,1,135,250,90
0.36,0.10,1,135,250,90
0.03,0.03,1,135,250,90
0.54,0.14,1,135,250,90
0.03,0.03,1,135,250,90
0.86,0.18,1,135,250,90
0.82,0.18,1,135,250,90
0.10,0.07,1,135,250,90
0.32,0.10,1,135,250,90
0.54,0.14,1,135,250,90
0.82,0.18,1,135,250,90
0.100,0.21,1,135,250,90
0.57,0.14,1,135,250,90
0.32,0.10,1,135,250,90
0.57,0.14,1,135,250,90
0.50,0.14,1,135,250,90
0.03,0.03,1,135,250,90
0.57,0.14,1,135,250,90
0.28,0.10,1,135,250,90
0.28,0.10,1,135,250,90
0.54,0.14,1,135,250,90
0.03,0.03,1,135,250,90
0.86,0.18,1,135,250,90
0.36,0.10,1,135,250,90
0.03,0.03,1,135,250,90
0.10,0.07,1,135,250,90
0.86,0.18,1,135,250,90
0.75,0.18,1,135,250,90
0.57,0.14,1,135,250,90
0.03,0.03,1,135,250,90
0.50,0.14,1,135,250,90
0.50,0.14,1,135,250,90
0.28,0.10,1,135,250,90
0.32,0.10,1,135,250,90
0.54,0.14,1,135,250,90
0.03,0.03,1,135,250,90
0.18,0.07,1,135,250,90
0.75,0.18,1,135,250,90
0.03,0.03,1,135,250,90
0.14,0.07,1,135,250,90
0.90,0.18,1,135,250,90
0.28,0.10,1,135,250,90
0.03,0.03,1,135,250,90
0.82,0.18,1,135,250,90
0.03,0.03,1,135,250,90
0.50,0.14,1,135,250,90
0.36,0.10,1,135,250,90
0.18,0.07,1,135,250,90
0.32,0.10,1,135,250,90
0.32,0.10,1,135,250,90
0.14,0.07,1,135,250,90
0.32,0.10,1,135,250,90
0.28,0.10,1,135,250,90
0.61,0.14,1,135,250,90
0.14,0.07,1,135,250,90
0.32,0.10,1,135,250,90
0.36,0.10,1,135,250,90
0.03,0.03,1,135,250,90
0.28,0.10,1,135,250,90
0.82,0.18,1,135,250,90
0.54,0.14,1,135,250,90
0.18,0.07,1,135,250,90
0.79,0.18,1,135,250,90
0.54,0.14,1,135,250,90
0.32,0.10,1,135,250,90
0.03,0.03,1,135,250,90
0.03,0.03,1,135,250,90
0.79,0.18,1,135,250,90
0.28,0.10,1,135,250,90
0.03,0.03,1,135,250,90
0.32,0.10,1,135,250,90
0.28,0.10,1,135,250,90
0.03,0.03,1,135,250,90
0.75,0.18,1,135,250,90
0.28,0.10,1,135,250,90
0.14,0.07,1,135,250,90
0.32,0.10,1,135,250,90
0.86,0.18,1,135,250,90
0.03,0.03,1,135,250,90
0.03,0.03,1,135,250,90
0.03,0.03,1,135,250,90
0.28,0.10,1,135,250,90
0.68,0.18,1,135,250,90
0.82,0.18,1,135,250,90
0.57,0.14,1,135,250,90
0.03,0.03,1,135,250,90
0.54,0.14,1,135,250,90
0.14,0.07,1,135,250,90
0.18,0.07,1,135,250,90
0.57,0.14,1,135,250,90
0.10,0.07,1,135,250,90
0.57,0.14,1,135,250,90
0.10,0.07,1,135,250,90
0.32,0.10,1,135,250,90
0.54,0.14,1,135,250,90
0.75,0.18,1,135,250,90
0.57,0.14,1,135,250,90
0.57,0.14,1,135,250,90
0.32,0.10,1,135,250,90
0.79,0.18,1,135,250,90
0.32,0.10,1,135,250,90
0.10,0.07,1,135,250,90
0.03,0.03,1,135,250,90
0.79,0.18,1,135,250,90
0.18,0.07,1,135,250,90
0.32,0.10,1,135,250,90
0.10,0.07,1,135,250,90
0.10,0.07,1,135,250,90
0.10,0.07,1,135,250,90
0.86,0.18,1,135,250,90
0.14,0.07,1,135,250,90
0.14,0.07,1,135,250,90
0.03,0.03,1,135,250,90
0.79,0.18,1,135,250,90
0.57,0.14,1,135,250,90
0.61,0.14,1,135,250,90
0.82,0.18,1,135,250,90
0.79,0.18,1,135,250,90
0.86,0.18,1,135,250,90
0.75,0.18,1,135,250,90
0.82,0.18,1,135,250,90
0.57,0.14,1,135,250,90
0.54,0.14,1,135,250,90
0.32,0.10,1,135,250,90
0.14,0.07,1,135,250,90
0.57,0.14,1,135,250,90
0.10,0.07,1,135,250,90
0.03,0.03,1,135,250,90
0.14,0.07,1,135,250,90
0.54,0.14,1,135,250,90
0.03,0.03,1,135,250,90
0.32,0.10,1,135,250,90
0.86,0.18,1,135,250,90
0.18,0.07,1,135,250,90
0.28,0.10,1,135,250,90
0.54,0.14,1,135,250,90
0.03,0.03,1,135,250,90
0.03,0.03,1,135,250,90
0.57,0.14,1,135,250,90
0.14,0.07,1,135,250,90
0.72,0.18,1,135,250,90
0.14,0.07,1,135,250,90
0.79,0.18,1,135,250,90
0.10,0.07,1,135,250,90
0.57,0.14,1,135,250,90
0.82,0.18,1,135,250,90
0.10,0.07,1,135,250,90
0.50,0.14,1,135,250,90
