_Eihop,_P0,hops,d,_R,_Nb
1.854,0.381,2,67,250,90
0.720,0.237,2,67,250,90
1.458,0.338,1,135,250,90
0.212,0.129,1,135,250,90
0.496,0.198,1,135,250,90
0.615,0.219,2,67,250,90
0.954,0.273,1,135,250,90
0.10,0.28,2,67,250,90
0.151,0.108,1,135,250,90
0.885,0.262,1,135,250,90
1.249,0.313,2,67,250,90
0.320,0.158,1,135,250,90
0.230,0.133,2,67,250,90
0.446,0.187,1,135,250,90
1.195,0.306,2,67,250,90
0.680,0.230,2,67,250,90
1.166,0.302,1,135,250,90
0.129,0.100,1,135,250,90
0.57,0.68,2,67,250,90
0.324,0.158,1,135,250,90
0.558,0.208,2,67,250,90
0.241,0.136,2,67,250,90
0.205,0.126,1,135,250,90
1.494,0.342,2,67,250,90
0.07,0.25,2,67,250,90
0.396,0.176,1,135,250,90
0.00,0.10,1,135,250,90
0.36,0.54,2,67,250,90
0.10,0.32,1,135,250,90
0.162,0.111,2,67,250,90
0.986,0.277,2,67,250,90
1.897,0.385,1,135,250,90
0.79,0.79,1,135,250,90
0.21,0.43,2,67,250,90
0.97,0.86,2,67,250,90
0.986,0.277,1,135,250,90
0.680,0.230,1,135,250,90
1.90,0.291,2,67,250,90
0.741,0.241,1,135,250,90
1.753,0.370,2,67,250,90
0.702,0.234,1,135,250,90
1.40,0.284,2,67,250,90
0.147,0.108,1,135,250,90
1.65,0.288,2,67,250,90
0.14,0.32,1,135,250,90
1.681,0.363,2,67,250,90
0.453,0.187,2,67,250,90
1.756,0.370,1,135,250,90
0.68,0.72,1,135,250,90
0.540,0.205,2,67,250,90
1.695,0.363,1,135,250,90
0.338,0.162,2,67,250,90
1.468,0.338,1,135,250,90
0.435,0.183,1,135,250,90
0.500,0.198,2,67,250,90
0.201,0.126,1,135,250,90
0.190,0.122,2,67,250,90
0.486,0.194,2,67,250,90
1.551,0.349,1,135,250,90
0.237,0.136,1,135,250,90
0.414,0.180,2,67,250,90
0.684,0.230,2,67,250,90
1.339,0.324,1,135,250,90
0.18,0.39,2,67,250,90
0.370,0.169,1,135,250,90
0.90,0.82,1,135,250,90
1.562,0.349,2,67,250,90
0.54,0.64,2,67,250,90
1.141,0.298,1,135,250,90
0.450,0.187,1,135,250,90
0.518,0.201,2,67,250,90
0.32,0.50,2,67,250,90
0.745,0.241,1,135,250,90
0.93,0.86,1,135,250,90
0.104,0.90,2,67,250,90
0.320,0.158,2,67,250,90
1.490,0.342,1,135,250,90
0.03,0.18,2,67,250,90
0.378,0.172,1,135,250,90
0.18,0.39,1,135,250,90
1.170,0.302,2,67,250,90
0.266,0.144,2,67,250,90
1.692,0.363,1,135,250,90
0.169,0.115,1,135,250,90
1.378,0.327,2,67,250,90
0.03,0.18,1,135,250,90
0.680,0.230,2,67,250,90
0.21,0.43,1,135,250,90
1.407,0.331,2,67,250,90
0.82,0.79,2,67,250,90
1.497,0.342,1,135,250,90
0.36,0.54,2,67,250,90
0.399,0.176,2,67,250,90
1.501,0.342,1,135,250,90
0.385,0.172,2,67,250,90
1.836,0.378,1,135,250,90
0.403,0.176,1,135,250,90
1.08,0.280,2,67,250,90
0.86,0.82,1,135,250,90
0.860,0.259,2,67,250,90
0.158,0.111,2,67,250,90
1.281,0.316,1,135,250,90
1.33,0.284,1,135,250,90
1.198,0.306,2,67,250,90
0.219,0.129,1,135,250,90
0.597,0.216,2,67,250,90
0.00,0.10,1,135,250,90
0.309,0.154,2,67,250,90
1.530,0.345,1,135,250,90
1.663,0.360,2,67,250,90
1.166,0.302,2,67,250,90
1.897,0.385,1,135,250,90
0.352,0.165,1,135,250,90
1.278,0.316,2,67,250,90
1.11,0.280,1,135,250,90
0.741,0.241,2,67,250,90
0.320,0.158,1,135,250,90
1.252,0.313,2,67,250,90
0.46,0.61,1,135,250,90
1.119,0.295,2,67,250,90
0.252,0.140,1,135,250,90
1.562,0.349,2,67,250,90
0.79,0.79,2,67,250,90
0.471,0.190,1,135,250,90
0.464,0.190,1,135,250,90
1.231,0.309,2,67,250,90
0.136,0.104,2,67,250,90
1.468,0.338,1,135,250,90
0.334,0.162,2,67,250,90
1.926,0.388,1,135,250,90
0.32,0.50,1,135,250,90
1.371,0.327,2,67,250,90
0.140,0.104,1,135,250,90
0.554,0.208,2,67,250,90
0.03,0.21,1,135,250,90
0.975,0.277,2,67,250,90
0.576,0.212,1,135,250,90
1.191,0.306,2,67,250,90
0.54,0.64,1,135,250,90
0.414,0.180,2,67,250,90
1.659,0.360,2,67,250,90
0.280,0.147,1,135,250,90
1.116,0.295,2,67,250,90
0.190,0.122,2,67,250,90
1.760,0.370,1,135,250,90
0.482,0.194,1,135,250,90
0.324,0.158,2,67,250,90
0.50,0.64,1,135,250,90
1.195,0.306,2,67,250,90
0.352,0.165,2,67,250,90
1.681,0.363,1,135,250,90
0.338,0.162,1,135,250,90
0.237,0.136,2,67,250,90
0.93,0.86,1,135,250,90
1.566,0.349,2,67,250,90
1.314,0.320,1,135,250,90
1.695,0.363,2,67,250,90
0.500,0.198,1,135,250,90
1.728,0.367,2,67,250,90
0.129,0.100,1,135,250,90
0.205,0.126,2,67,250,90
0.684,0.230,1,135,250,90
0.910,0.266,2,67,250,90
0.169,0.115,1,135,250,90
0.93,0.86,2,67,250,90
0.540,0.205,2,67,250,90
1.404,0.331,1,135,250,90
0.86,0.82,2,67,250,90
0.468,0.190,1,135,250,90
0.140,0.104,2,67,250,90
1.350,0.324,1,135,250,90
0.633,0.223,1,135,250,90
0.795,0.248,2,67,250,90
1.170,0.302,1,135,250,90
0.856,0.259,2,67,250,90
0.748,0.241,1,135,250,90
1.792,0.374,2,67,250,90
0.129,0.100,1,135,250,90
0.212,0.129,2,67,250,90
0.57,0.68,2,67,250,90
1.407,0.331,1,135,250,90
0.36,0.54,1,135,250,90
0.954,0.273,2,67,250,90
0.03,0.18,1,135,250,90
0.813,0.252,2,67,250,90
0.151,0.108,2,67,250,90
1.940,0.388,1,135,250,90
1.461,0.338,1,135,250,90
1.555,0.349,2,67,250,90
0.435,0.183,2,67,250,90
0.914,0.266,1,135,250,90
0.194,0.122,1,135,250,90
1.368,0.327,2,67,250,90
0.201,0.126,1,135,250,90
1.832,0.378,2,67,250,90
0.57,0.68,2,67,250,90
0.201,0.126,1,135,250,90
0.637,0.223,2,67,250,90
1.65,0.288,1,135,250,90
0.75,0.75,1,135,250,90
1.378,0.327,2,67,250,90
0.136,0.104,2,67,250,90
0.770,0.244,1,135,250,90
0.118,0.97,2,67,250,90
1.260,0.313,1,135,250,90
1.936,0.388,1,135,250,90
1.890,0.385,1,135,250,90
1.749,0.370,2,67,250,90
0.03,0.18,2,67,250,90
1.224,0.309,1,135,250,90
0.18,0.39,1,135,250,90
1.62,0.288,2,67,250,90
0.306,0.154,2,67,250,90
1.868,0.381,1,135,250,90
0.882,0.262,1,135,250,90
1.346,0.324,2,67,250,90
0.806,0.252,2,67,250,90
1.792,0.374,1,135,250,90
0.21,0.43,1,135,250,90
0.97,0.86,2,67,250,90
0.183,0.118,1,135,250,90
0.291,0.151,2,67,250,90
0.97,0.86,1,135,250,90
1.08,0.280,2,67,250,90
0.370,0.169,1,135,250,90
0.514,0.201,2,67,250,90
0.54,0.64,2,67,250,90
0.745,0.241,1,135,250,90
0.86,0.82,2,67,250,90
1.65,0.288,1,135,250,90
0.453,0.187,1,135,250,90
